Categories,Total Sucides,Gender
less than 1 lakh,59382,Male
1 lakh & above - less than 5 lakhs,28174,Male
5 lakhs & above - less than 10 lakhs,3959,Male
10 lakhs and above,599,Male
less than 1 lakh,29595,Female
1 lakh & above - less than 5 lakhs,10904,Female
5 lakhs & above - less than 10 lakhs,1683,Female
10 lakhs and above,209,Female
