Categories,Total Sucides,Gender
less than 1 lakh,62236,Male
1 lakh & above & less than 5 lakhs,30913,Male
5 lakhs & above & less than 10 lakhs,3713,Male
10 lakhs and above,751,Male
less than 1 lakh,29832,Female
1 lakh & above & less than 5 lakhs,10282,Female
5 lakhs & above & less than 10 lakhs,1111,Female
10 lakhs and above,268,Female
