,Categories,Total Sucides
0,No Education,18493
1,Primary (up to class-5th),26289
2,Middle (up to class-8th),28275
3,Matriculate/ Secondary/(up to class-10th),28996
4,Hr. Secondary/ Intermediate/Pre-University (up to class-12th),15842
5,Diploma/ Certificate/ ITI,1557
6,Graduate and above,3807
7,Professionals (MBA etc.),475
8,Status Not known,9882
