,Categories,Total Sucides
0,No Education,17023
1,Primary (up to class–5th),23046
2,Middle (up to class–8th),26248
3,Matriculate/Secondary (up to class–10th) - Male,31756
4,Hr. Secondary/Intermediate/Pre-University (up to class–12th) - Male,22075
5,Diploma/Certificate/ITI,1477
6,Graduate and above,4437
7,Professionals (MBA etc.),430
8,Status Not known,8013
