,Categories,Total Sucides
0,No Education,17586
1,Primary (up to class-5th),22644
2,Middle (up to class-8th),27321
3,Matriculate/ Secondary/(up to class-10th),32422
4,Hr. Secondary/ Intermediate/Pre-University (up to class-12th),19506
5,Diploma/ Certificate/ ITI,1708
6,Graduate and above,5184
7,Professionals (MBA etc.),335
8,Status Not known,12400
