Categories,Total Sucides,Gender
less than 1 lakh,62694,Male
1 lakh & above - less than 5 lakhs,24085,Male
5 lakhs & above - less than 10 lakhs,3453,Male
10 lakhs and above,1296,Male
less than 1 lakh,30886,Female
1 lakh & above - less than 5 lakhs,9327,Female
5 lakhs & above - less than 10 lakhs,1290,Female
10 lakhs and above,585,Female
