,Categories,Total Sucides
0,less than Rs. 1 lakh - Male,92719
1,Rs. 1 lakh & above less than Rs. 5 lakhs - Male,33253
2,Rs. 5 lakhs & above less than Rs. 10 lakhs - Male,3914
3,Rs. 10 lakhs and above - Male,1108
